E(0),age,"q(x,n)",q45_15
45,0,0.12507698,0.44464866
45,1,0.09810238,0.44464866
45,5,0.03071503,0.44464866
45,10,0.0183161,0.44464866
45,15,0.02853881,0.44464866
45,20,0.03920266,0.44464866
45,25,0.04421982,0.44464866
45,30,0.05014777,0.44464866
45,35,0.05483324,0.44464866
45,40,0.05977252,0.44464866
45,45,0.07099596,0.44464866
45,50,0.0922036,0.44464866
45,55,0.12552034,0.44464866
45,60,0.17335886,0.44464866
45,65,0.24047608,0.44464866
45,70,0.33411103,0.44464866
45,75,0.45200173,0.44464866
45,80,0.56978702,0.44464866
45,85,0.69600224,0.44464866
45,90,0.79969036,0.44464866
45,95,0.87756993,0.44464866
45,100,1,0.44464866
46,0,0.12139676,0.431635847
46,1,0.09304595,0.431635847
46,5,0.02901014,0.431635847
46,10,0.01730901,0.431635847
46,15,0.02691754,0.431635847
46,20,0.03697922,0.431635847
46,25,0.04185708,0.431635847
46,30,0.04763373,0.431635847
46,35,0.05238372,0.431635847
46,40,0.05749314,0.431635847
46,45,0.06866883,0.431635847
46,50,0.08954995,0.431635847
46,55,0.12233825,0.431635847
46,60,0.16957842,0.431635847
46,65,0.23617463,0.431635847
46,70,0.32922602,0.431635847
46,75,0.4466486,0.431635847
46,80,0.56533232,0.431635847
46,85,0.69246498,0.431635847
46,90,0.79742093,0.431635847
46,95,0.87645805,0.431635847
46,100,1,0.431635847
47,0,0.11775335,0.418672938
47,1,0.08815095,0.418672938
47,5,0.02737063,0.418672938
47,10,0.01634046,0.418672938
47,15,0.02536097,0.418672938
47,20,0.0348436,0.418672938
47,25,0.03957943,0.418672938
47,30,0.04520146,0.418672938
47,35,0.05000012,0.418672938
47,40,0.05525996,0.418672938
47,45,0.066376,0.418672938
47,50,0.08692401,0.418672938
47,55,0.11917704,0.418672938
47,60,0.16580714,0.418672938
47,65,0.23186371,0.418672938
47,70,0.32430943,0.418672938
47,75,0.44123732,0.418672938
47,80,0.56080724,0.418672938
47,85,0.68885711,0.418672938
47,90,0.79509809,0.418672938
47,95,0.8753164,0.418672938
47,100,1,0.418672938
48,0,0.11414474,0.40576249
48,1,0.08341121,0.40576249
48,5,0.02579539,0.40576249
48,10,0.01540958,0.40576249
48,15,0.02386767,0.40576249
48,20,0.03279254,0.40576249
48,25,0.03738539,0.40576249
48,30,0.04284877,0.40576249
48,35,0.04768206,0.40576249
48,40,0.05307148,0.40576249
48,45,0.06411762,0.40576249
48,50,0.08432552,0.40576249
48,55,0.11603481,0.40576249
48,60,0.16203908,0.40576249
48,65,0.22753413,0.40576249
48,70,0.31934479,0.40576249
48,75,0.43574251,0.40576249
48,80,0.55618933,0.40576249
48,85,0.68515581,0.40576249
48,90,0.79270446,0.40576249
48,95,0.87413482,0.40576249
48,100,1,0.40576249
49,0,0.11056926,0.392907009
49,1,0.07882321,0.392907009
49,5,0.02428204,0.392907009
49,10,0.01451494,0.392907009
49,15,0.02243522,0.392907009
49,20,0.03082306,0.392907009
49,25,0.03527205,0.392907009
49,30,0.04057316,0.392907009
49,35,0.04542747,0.392907009
49,40,0.05092631,0.392907009
49,45,0.06189233,0.392907009
49,50,0.08175303,0.392907009
49,55,0.11290987,0.392907009
49,60,0.1582722,0.392907009
49,65,0.22318314,0.392907009
49,70,0.31432833,0.392907009
49,75,0.43015898,0.392907009
49,80,0.55147274,0.392907009
49,85,0.68135517,0.392907009
49,90,0.79023541,0.392907009
49,95,0.87291063,0.392907009
49,100,1,0.392907009
50,0,0.10702542,0.380104186
50,1,0.07438546,0.380104186
50,5,0.02282717,0.380104186
50,10,0.01365469,0.380104186
50,15,0.0210604,0.380104186
50,20,0.02893237,0.380104186
50,25,0.03323533,0.380104186
50,30,0.03837179,0.380104186
50,35,0.04323284,0.380104186
50,40,0.04882308,0.380104186
50,45,0.05969732,0.380104186
50,50,0.07920389,0.380104186
50,55,0.10980063,0.380104186
50,60,0.15450801,0.380104186
50,65,0.21881403,0.380104186
50,70,0.3092686,0.380104186
50,75,0.42450175,0.380104186
50,80,0.54666861,0.380104186
50,85,0.67746702,0.380104186
50,90,0.78769995,0.380104186
50,95,0.87164923,0.380104186
50,100,1,0.380104186
51,0,0.10352776,0.367336802
51,1,0.07008528,0.367336802
51,5,0.02142768,0.367336802
51,10,0.01283085,0.367336802
51,15,0.01974346,0.367336802
51,20,0.02711906,0.367336802
51,25,0.03127408,0.367336802
51,30,0.03624198,0.367336802
51,35,0.04109468,0.367336802
51,40,0.04676311,0.367336802
51,45,0.05752831,0.367336802
51,50,0.07667192,0.367336802
51,55,0.10669781,0.367336802
51,60,0.15073385,0.367336802
51,65,0.21440393,0.367336802
51,70,0.3041302,0.367336802
51,75,0.41871523,0.367336802
51,80,0.54172712,0.367336802
51,85,0.67343904,0.367336802
51,90,0.78505786,0.367336802
51,95,0.87032662,0.367336802
51,100,1,0.367336802
52,0,0.10005842,0.354640518
52,1,0.06593012,0.354640518
52,5,0.02008321,0.354640518
52,10,0.01203889,0.354640518
52,15,0.01848022,0.354640518
52,20,0.0253795,0.354640518
52,25,0.02938495,0.354640518
52,30,0.03418255,0.354640518
52,35,0.03901371,0.354640518
52,40,0.04474279,0.354640518
52,45,0.05538776,0.354640518
52,50,0.07416121,0.354640518
52,55,0.103608,0.354640518
52,60,0.14695858,0.354640518
52,65,0.2099702,0.354640518
52,70,0.29894049,0.354640518
52,75,0.41284361,0.354640518
52,80,0.53668475,0.354640518
52,85,0.66930979,0.354640518
52,90,0.78233841,0.354640518
52,95,0.86896037,0.354640518
52,100,1,0.354640518
53,0,0.09657572,0.342029726
53,1,0.06191328,0.342029726
53,5,0.01879734,0.342029726
53,10,0.01127923,0.342029726
53,15,0.01727177,0.342029726
53,20,0.0237154,0.342029726
53,25,0.02756962,0.342029726
53,30,0.03219625,0.342029726
53,35,0.03699373,0.342029726
53,40,0.04276515,0.342029726
53,45,0.05328047,0.342029726
53,50,0.07167697,0.342029726
53,55,0.10053544,0.342029726
53,60,0.14318366,0.342029726
53,65,0.20551144,0.342029726
53,70,0.2936901,0.342029726
53,75,0.40686816,0.342029726
53,80,0.53152325,0.342029726
53,85,0.66505605,0.342029726
53,90,0.77952257,0.342029726
53,95,0.86753842,0.342029726
53,100,1,0.342029726
54,0,0.09313751,0.329467587
54,1,0.05804547,0.329467587
54,5,0.01756396,0.329467587
54,10,0.01054854,0.329467587
54,15,0.01611259,0.329467587
54,20,0.0221192,0.329467587
54,25,0.02582038,0.329467587
54,30,0.030275,0.329467587
54,35,0.03502694,0.329467587
54,40,0.04082302,0.329467587
54,45,0.05119878,0.329467587
54,50,0.06921021,0.329467587
54,55,0.097469,0.329467587
54,60,0.13939525,0.329467587
54,65,0.20101062,0.329467587
54,70,0.28835802,0.329467587
54,75,0.40076343,0.329467587
54,80,0.52621826,0.329467587
54,85,0.66065576,0.329467587
54,90,0.77659439,0.329467587
54,95,0.86605201,0.329467587
54,100,1,0.329467587
55,0,0.08973409,0.316964658
55,1,0.05431219,0.316964658
55,5,0.01637999,0.316964658
55,10,0.00984671,0.316964658
55,15,0.01500185,0.316964658
55,20,0.02058966,0.316964658
55,25,0.024137,0.316964658
55,30,0.02841833,0.316964658
55,35,0.03311284,0.316964658
55,40,0.03891722,0.316964658
55,45,0.04914213,0.316964658
55,50,0.06676063,0.316964658
55,55,0.09441028,0.316964658
55,60,0.13559841,0.316964658
55,65,0.1964754,0.316964658
55,70,0.28295899,0.316964658
55,75,0.39455168,0.316964658
