Country,agegroup,CEB,CS,TFR2010,TFR2000,HIV90,HIV2000,HIV2010,ART05,ART06,ART07,ART08,ART09,ART10,ART11,artprev05,artprev06,artprev07,artprev08,artprev09,prop15to19_2010,prev15to19_2010,HIV2005,HIV2006,HIV2007,HIV2008,HIV2009
Tanzania,1,0.2,0.19,5.4,5.6,0.048,0.073,0.053,0.192324734,0.216703926,0.244173438,0.275125,0.31,0.38,0.4,0.001079005,0.002698301,0.00602152,0.007169172,0.009158516,0.125,0.013,0.061,0.06,0.058,0.058,0.058
Tanzania,2,1.38,1.28,5.4,5.6,0.048,0.073,0.053,0.192324734,0.216703926,0.244173438,0.275125,0.31,0.38,0.4,0.001079005,0.002698301,0.00602152,0.007169172,0.009158516,0.125,0.013,0.061,0.06,0.058,0.058,0.058
Tanzania,3,2.67,2.42,5.4,5.6,0.048,0.073,0.053,0.192324734,0.216703926,0.244173438,0.275125,0.31,0.38,0.4,0.001079005,0.002698301,0.00602152,0.007169172,0.009158516,0.125,0.013,0.061,0.06,0.058,0.058,0.058
Tanzania,4,3.66,3.27,5.4,5.6,0.048,0.073,0.053,0.192324734,0.216703926,0.244173438,0.275125,0.31,0.38,0.4,0.001079005,0.002698301,0.00602152,0.007169172,0.009158516,0.125,0.013,0.061,0.06,0.058,0.058,0.058
Tanzania,5,5.03,4.34,5.4,5.6,0.048,0.073,0.053,0.192324734,0.216703926,0.244173438,0.275125,0.31,0.38,0.4,0.001079005,0.002698301,0.00602152,0.007169172,0.009158516,0.125,0.013,0.061,0.06,0.058,0.058,0.058
Tanzania,6,5.66,4.87,5.4,5.6,0.048,0.073,0.053,0.192324734,0.216703926,0.244173438,0.275125,0.31,0.38,0.4,0.001079005,0.002698301,0.00602152,0.007169172,0.009158516,0.125,0.013,0.061,0.06,0.058,0.058,0.058
Tanzania,7,6.35,5.28,5.4,5.6,0.048,0.073,0.053,0.192324734,0.216703926,0.244173438,0.275125,0.31,0.38,0.4,0.001079005,0.002698301,0.00602152,0.007169172,0.009158516,0.125,0.013,0.061,0.06,0.058,0.058,0.058
Malawi,1,0.23,0.21,5.7,6.3,0.072,0.142,0.1,0.190478466,0.229297549,0.276027873,0.332281731,0.4,0.47,0.58,0.00462963,0.009009009,0.014577259,0.021428571,0.027171735,0.217881822,0.042,0.13,0.125,0.119,0.114,0.109
Malawi,2,1.61,1.44,5.7,6.3,0.072,0.142,0.1,0.190478466,0.229297549,0.276027873,0.332281731,0.4,0.47,0.58,0.00462963,0.009009009,0.014577259,0.021428571,0.027171735,0.217881822,0.042,0.13,0.125,0.119,0.114,0.109
Malawi,3,2.98,2.64,5.7,6.3,0.072,0.142,0.1,0.190478466,0.229297549,0.276027873,0.332281731,0.4,0.47,0.58,0.00462963,0.009009009,0.014577259,0.021428571,0.027171735,0.217881822,0.042,0.13,0.125,0.119,0.114,0.109
Malawi,4,4.23,3.59,5.7,6.3,0.072,0.142,0.1,0.190478466,0.229297549,0.276027873,0.332281731,0.4,0.47,0.58,0.00462963,0.009009009,0.014577259,0.021428571,0.027171735,0.217881822,0.042,0.13,0.125,0.119,0.114,0.109
Malawi,5,5.45,4.5,5.7,6.3,0.072,0.142,0.1,0.190478466,0.229297549,0.276027873,0.332281731,0.4,0.47,0.58,0.00462963,0.009009009,0.014577259,0.021428571,0.027171735,0.217881822,0.042,0.13,0.125,0.119,0.114,0.109
