Country,Agegroup,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Madagascar,1,0.000650897,0.000650897,0.000650897,0.000650897,0.000650897,0.000650897,0.000650897,0.000650897,0.000650897,0.000650897,0.000650897,0.000650897,0.000650897,0.000650897,0.000650897,0.000650897,0.000650897,0.000650897,0.000650897,0.000650897,0.000650897,0.000650897,0.000650897,0.000650897,0.000650897,0.000650897,0.000650897,0.000650897,0.000650897,0.000650897,0.000650897,0.000650897,0.000650897,0.000650897,0.000650897,0.000650897,0.000650098,0.0006493,0.000648502,0.000647706,0.00064691,0.000646116,0.000645322,0.00064453,0.000643738,0.000642948,0.000642158,0.00064137,0.000640582,0.000639795,0.000659782,0.000679769,0.000699755,0.000719741,0.000739726,0.000759711,0.000779696,0.00079968,0.000769975,0.000741374,0.000713834,0.000687317,0.000661785,0.000637201,0.00061353,0.000590738
Madagascar,2,0.001016841,0.001016841,0.001016841,0.001016841,0.001016841,0.001016841,0.001016841,0.001016841,0.001016841,0.001016841,0.001016841,0.001016841,0.001016841,0.001016841,0.001016841,0.001016841,0.001016841,0.001016841,0.001016841,0.001016841,0.001016841,0.001016841,0.001016841,0.001016841,0.001016841,0.001016841,0.001016841,0.001016841,0.001016841,0.001016841,0.001016841,0.001016841,0.001016841,0.001016841,0.001016841,0.001016841,0.001015593,0.001014346,0.0010131,0.001011856,0.001010614,0.001009373,0.001008133,0.001006896,0.001005659,0.001004424,0.001003191,0.001001959,0.001000729,0.0009995,0.000962037,0.000924572,0.000887106,0.000849639,0.00081217,0.0007747,0.000737228,0.000699755,0.000673761,0.000648732,0.000624633,0.000601428,0.000579086,0.000557573,0.000536859,0.000516915
Madagascar,3,0.00128105,0.00128105,0.00128105,0.00128105,0.00128105,0.00128105,0.00128105,0.00128105,0.00128105,0.00128105,0.00128105,0.00128105,0.00128105,0.00128105,0.00128105,0.00128105,0.00128105,0.00128105,0.00128105,0.00128105,0.00128105,0.00128105,0.00128105,0.00128105,0.00128105,0.00128105,0.00128105,0.00128105,0.00128105,0.00128105,0.00128105,0.00128105,0.00128105,0.00128105,0.00128105,0.00128105,0.001279478,0.001277907,0.001276338,0.001274771,0.001273206,0.001271643,0.001270082,0.001268522,0.001266965,0.00126541,0.001263856,0.001262304,0.001260755,0.001259207,0.001214262,0.001169316,0.001124368,0.001079417,0.001034465,0.00098951,0.000944554,0.000899595,0.000866181,0.000834007,0.000803028,0.000773199,0.000744477,0.000716822,0.000690194,0.000664555
Madagascar,4,0.001108306,0.001108306,0.001108306,0.001108306,0.001108306,0.001108306,0.001108306,0.001108306,0.001108306,0.001108306,0.001108306,0.001108306,0.001108306,0.001108306,0.001108306,0.001108306,0.001108306,0.001108306,0.001108306,0.001108306,0.001108306,0.001108306,0.001108306,0.001108306,0.001108306,0.001108306,0.001108306,0.001108306,0.001108306,0.001108306,0.001108306,0.001108306,0.001108306,0.001108306,0.001108306,0.001108306,0.001106945,0.001105586,0.001104229,0.001102873,0.001101519,0.001100166,0.001098816,0.001097466,0.001096119,0.001094773,0.001093429,0.001092086,0.001090746,0.001089406,0.001065682,0.001041957,0.001018231,0.000994505,0.000970779,0.000947051,0.000923324,0.000899595,0.000866181,0.000834007,0.000803028,0.000773199,0.000744477,0.000716822,0.000690194,0.000664555
Madagascar,5,0.001595978,0.001595978,0.001595978,0.001595978,0.001595978,0.001595978,0.001595978,0.001595978,0.001595978,0.001595978,0.001595978,0.001595978,0.001595978,0.001595978,0.001595978,0.001595978,0.001595978,0.001595978,0.001595978,0.001595978,0.001595978,0.001595978,0.001595978,0.001595978,0.001595978,0.001595978,0.001595978,0.001595978,0.001595978,0.001595978,0.001595978,0.001595978,0.001595978,0.001595978,0.001595978,0.001595978,0.001594019,0.001592062,0.001590108,0.001588156,0.001586207,0.00158426,0.001582315,0.001580373,0.001578433,0.001576495,0.00157456,0.001572627,0.001570697,0.001568769,0.001497628,0.001426482,0.001355331,0.001284175,0.001213014,0.001141848,0.001070677,0.0009995,0.000962377,0.000926631,0.000892213,0.000859073,0.000827163,0.000796438,0.000766853,0.000738368
Madagascar,6,0.000610229,0.000610229,0.000610229,0.000610229,0.000610229,0.000610229,0.000610229,0.000610229,0.000610229,0.000610229,0.000610229,0.000610229,0.000610229,0.000610229,0.000610229,0.000610229,0.000610229,0.000610229,0.000610229,0.000610229,0.000610229,0.000610229,0.000610229,0.000610229,0.000610229,0.000610229,0.000610229,0.000610229,0.000610229,0.000610229,0.000610229,0.000610229,0.000610229,0.000610229,0.000610229,0.000610229,0.000609479,0.000608731,0.000607983,0.000607237,0.000606491,0.000605746,0.000605002,0.000604259,0.000603517,0.000602776,0.000602035,0.000601296,0.000600558,0.00059982,0.000612312,0.000624805,0.000637297,0.000649789,0.000662281,0.000674772,0.000687264,0.000699755,0.000673761,0.000648732,0.000624633,0.000601428,0.000579086,0.000557573,0.000536859,0.000516915
Madagascar,7,0.000711897,0.000711897,0.000711897,0.000711897,0.000711897,0.000711897,0.000711897,0.000711897,0.000711897,0.000711897,0.000711897,0.000711897,0.000711897,0.000711897,0.000711897,0.000711897,0.000711897,0.000711897,0.000711897,0.000711897,0.000711897,0.000711897,0.000711897,0.000711897,0.000711897,0.000711897,0.000711897,0.000711897,0.000711897,0.000711897,0.000711897,0.000711897,0.000711897,0.000711897,0.000711897,0.000711897,0.000711023,0.00071015,0.000709278,0.000708407,0.000707537,0.000706668,0.0007058,0.000704933,0.000704068,0.000703203,0.000702339,0.000701477,0.000700615,0.000699755,0.000674772,0.000649789,0.000624805,0.00059982,0.000574835,0.000549849,0.000524862,0.000499875,0.000481304,0.000463423,0.000446206,0.000429629,0.000413667,0.000398298,0.0003835,0.000369252
Sudan,1,0.000519865,0.000519865,0.000519865,0.000519865,0.000519865,0.000519865,0.000519865,0.000519865,0.000519865,0.000519865,0.000519865,0.000519865,0.000519865,0.000519865,0.000519865,0.000519865,0.000519865,0.000519865,0.000519865,0.000519865,0.000519865,0.000519865,0.000519865,0.000519865,0.000519865,0.000519865,0.000519865,0.000519865,0.000519865,0.000519865,0.000519865,0.000519865,0.000519865,0.000519865,0.000519865,0.000519865,0.000515998,0.00051216,0.00050835,0.000504569,0.000500816,0.000497091,0.000493394,0.000489724,0.000486081,0.000482465,0.000473349,0.000464405,0.00045563,0.00044702,0.000438573,0.000430286,0.000422155,0.000414178,0.000406352,0.000398673,0.000375893,0.000354415,0.000334164,0.000315069,0.000297066,0.000280091,0.000264086,0.000248995,0.000234767,0.000221351
Sudan,2,0.000779696,0.000779696,0.000779696,0.000779696,0.000779696,0.000779696,0.000779696,0.000779696,0.000779696,0.000779696,0.000779696,0.000779696,0.000779696,0.000779696,0.000779696,0.000779696,0.000779696,0.000779696,0.000779696,0.000779696,0.000779696,0.000779696,0.000779696,0.000779696,0.000779696,0.000779696,0.000779696,0.000779696,0.000779696,0.000779696,0.000779696,0.000779696,0.000779696,0.000779696,0.000779696,0.000779696,0.000773897,0.000768142,0.000762429,0.000756759,0.00075113,0.000745544,0.000739999,0.000734496,0.000729033,0.000723611,0.00070994,0.000696526,0.000683367,0.000670455,0.000657788,0.00064536,0.000633166,0.000621203,0.000609466,0.00059795,0.000563787,0.000531575,0.000501203,0.000472566,0.000445565,0.000420107,0.000396102,0.000373469,0.000352129,0.000332008
Sudan,3,0.00097952,0.00097952,0.00097952,0.00097952,0.00097952,0.00097952,0.00097952,0.00097952,0.00097952,0.00097952,0.00097952,0.00097952,0.00097952,0.00097952,0.00097952,0.00097952,0.00097952,0.00097952,0.00097952,0.00097952,0.00097952,0.00097952,0.00097952,0.00097952,0.00097952,0.00097952,0.00097952,0.00097952,0.00097952,0.00097952,0.00097952,0.00097952,0.00097952,0.00097952,0.00097952,0.00097952,0.000972236,0.000965006,0.00095783,0.000950707,0.000943637,0.00093662,0.000929654,0.000922741,0.000915879,0.000909068,0.000891894,0.000875045,0.000858514,0.000842294,0.000826382,0.000810769,0.000795452,0.000780424,0.000765679,0.000751213,0.000708297,0.000667831,0.000629677,0.000593701,0.000559781,0.000527798,0.000497642,0.000469208,0.000442399,0.000417121
