Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AngolaUrban,0,0,0,0,0,5.52E-05,5.23E-05,9.10E-05,0.000152483,0.000246061,0.000382287,0.00057739,0.000838717,0.00117637,0.001579317,0.002065317,0.002625793,0.00321194,0.003777568,0.004304214,0.004717476,0.00500707,0.005152849,0.005165983,0.005061814,0.004881957,0.004630084,0.00442804,0.004259302,0.004129011,0.004034339,0.003989318,0.003980585,0.004011215,0.00408011,0.004162808,0.004256442,0.004295727,0.004379797,0.004401384,0.00435767,0.004083331,0.004145232,0.004141424,0.0040719,0.003989139
AngolaRural,0,0,0,0,0,9.15E-06,1.67E-06,2.68E-06,4.01E-06,5.87E-06,8.59E-06,1.27E-05,1.88E-05,2.88E-05,4.41E-05,6.95E-05,0.000110015,0.000170844,0.000256226,0.000370397,0.000535244,0.00073592,0.000998718,0.001328792,0.001719572,0.002156062,0.002639486,0.003115775,0.00351709,0.00384609,0.00406498,0.004162798,0.004131069,0.003936503,0.003580359,0.003118202,0.00260155,0.002037931,0.001539036,0.001131279,0.000918105,0.000770032,0.000689412,0.00061814,0.000545399,0.000482526
BeninUrban,0,0,0,0,0,5.34E-09,1.35E-08,4.50E-08,1.42E-07,4.39E-07,1.28E-06,3.53E-06,9.28E-06,2.31E-05,5.38E-05,0.000118322,0.000240868,0.000459297,0.000811058,0.001320573,0.001999586,0.002774036,0.003579842,0.004276767,0.004759322,0.004993655,0.004980857,0.004791703,0.004473804,0.004105276,0.003731223,0.003399587,0.003123613,0.00289003,0.00270877,0.002585693,0.002439602,0.002321118,0.002213893,0.002129562,0.002029163,0.001933953,0.0018337,0.001743008,0.001645958,0.00155822
BeninRural,0,0,0,0,0,1.38E-10,5.30E-10,2.32E-09,1.01E-08,3.97E-08,1.49E-07,5.31E-07,1.76E-06,5.47E-06,1.56E-05,4.07E-05,9.90E-05,0.000218169,0.000446058,0.000827842,0.001388639,0.002151893,0.00299912,0.003794584,0.004387841,0.004652172,0.00457217,0.004226986,0.003788603,0.00322776,0.002657,0.002144473,0.001738655,0.001448972,0.00126168,0.001165739,0.001107123,0.001089505,0.001091452,0.001098575,0.001084595,0.00103786,0.000961273,0.000892622,0.000823504,0.000759469
BotswanaUrban,0,0,0,0,0,9.66E-06,1.24E-05,2.68E-05,5.67E-05,0.00011744,0.000237274,0.000484631,0.000912731,0.001680958,0.00300521,0.005181545,0.00878513,0.013819668,0.020775427,0.029652082,0.040051862,0.050100318,0.06075651,0.06986944,0.076450015,0.079888172,0.079884797,0.077981104,0.074094096,0.068867099,0.063039455,0.05702846,0.051236933,0.045653018,0.040185932,0.035024497,0.031085884,0.028268895,0.026375216,0.024229944,0.021900696,0.019783877,0.01820596,0.016684539,0.015182068,0.013829753
BotswanaRural,0,0,0,0,0,2.52E-07,3.85E-07,9.23E-07,2.19E-06,5.21E-06,1.23E-05,2.94E-05,6.99E-05,0.000166387,0.000390842,0.000891768,0.001938737,0.00400967,0.007777505,0.013995115,0.023152467,0.035402024,0.048423219,0.060448738,0.069302589,0.073698417,0.074360441,0.071474588,0.066571894,0.060871571,0.055193987,0.050120366,0.045860524,0.042322725,0.039013349,0.035821445,0.033322859,0.031306002,0.029721303,0.027485077,0.025061681,0.02270243,0.020716133,0.018893008,0.017361115,0.016273265
BurkinaFasoUrban,0,0,0,0,0,0.000107904,0.000164478,0.000354316,0.000705802,0.001308086,0.002266293,0.003698845,0.005553163,0.007833061,0.010380023,0.012877697,0.01484651,0.016420351,0.017110632,0.016863877,0.015775434,0.014023846,0.011890333,0.009738423,0.007740398,0.00607608,0.004878136,0.004020148,0.003486046,0.003172737,0.003021307,0.002981999,0.002981113,0.002981387,0.00293595,0.002858651,0.002729271,0.002582228,0.002469069,0.002300892,0.002130917,0.001968868,0.001795495,0.001721724,0.001680685,0.001601473
BurkinaFasoRural,0,0,0,0,0,0.000180882,0.000154352,0.000259796,0.000423919,0.000663767,0.001004848,0.001464194,0.002061782,0.002816592,0.003706748,0.004708549,0.005772903,0.006735428,0.007529992,0.008059391,0.008256225,0.008109687,0.007626764,0.006850659,0.005897272,0.004864282,0.003851447,0.002960814,0.002216707,0.001620785,0.001182572,0.000880007,0.000692595,0.000593796,0.000549454,0.000546706,0.000569896,0.000598795,0.000634386,0.000654064,0.000618225,0.00054332,0.000470404,0.000428053,0.000389804,0.000354101
CamerounUrban,0,0,0,0,0,2.90E-07,7.13E-07,2.17E-06,6.06E-06,1.55E-05,3.64E-05,7.98E-05,0.000162379,0.000311633,0.000563498,0.000971201,0.001574801,0.002424359,0.003539827,0.00491997,0.00652019,0.008264338,0.010059178,0.011777342,0.013280645,0.014492174,0.015356953,0.015884625,0.016058189,0.015931607,0.015529688,0.014939952,0.014218143,0.013389187,0.012519587,0.011600852,0.010605393,0.009675582,0.0088212,0.008042075,0.007535045,0.007157266,0.006775563,0.006368622,0.00606289,0.005690341
CamerounRural,0,0,0,0,0,0.000136475,0.000192224,0.000410121,0.000857657,0.001713477,0.003233818,0.005767207,0.009714928,0.015079642,0.022304287,0.030257295,0.03805874,0.043796967,0.046572862,0.045305979,0.040572399,0.033624589,0.025767184,0.018541462,0.012842334,0.007796394,0.005012179,0.003813642,0.003736256,0.004242232,0.005009573,0.00584061,0.006573872,0.007243151,0.007809267,0.008298605,0.008625228,0.008849731,0.008882645,0.008798721,0.008739551,0.008754462,0.008754692,0.008665781,0.008714247,0.008561691
